400
x1,x2,Class
-7.260499,4.602871,+
3.672304,2.775738,-
7.761925,9.520494,-
-0.555602,0.294646,+
-4.184094,-3.883572,-
-7.167791,7.985602,+
3.450161,7.336562,-
-8.469398,3.345318,+
-7.036894,4.927117,+
6.154436,-1.797650,+
9.962416,7.424402,-
0.541655,6.725766,-
7.160612,4.203874,-
9.861115,-5.723719,+
-4.118549,-0.758840,-
7.089234,6.008915,-
-3.746287,7.946542,+
-4.989717,-2.556909,-
8.889938,-9.544882,+
4.428388,5.020843,-
4.135608,9.810947,-
-6.560679,5.001467,+
1.424344,-8.148857,+
-6.508526,1.111058,+
8.522810,-9.987360,+
-5.235536,6.286848,+
1.820950,5.078644,-
-3.417824,8.804115,+
-2.396316,-9.211240,-
4.192680,-2.952557,+
-6.690550,9.843092,+
9.626865,3.436811,-
-3.176384,0.736279,+
-9.657863,-6.287194,-
8.323154,4.779255,-
-1.572502,-1.705431,-
3.914505,1.028245,-
5.113055,8.012036,-
3.598653,-3.517754,+
7.094316,-7.470073,+
9.066655,-5.371324,+
-5.792503,-7.083519,-
-1.214253,3.531724,+
3.839065,-7.201276,+
9.780536,2.251214,-
-6.610853,1.172978,+
-4.342176,-5.747029,-
5.144759,-8.122994,+
-5.113872,7.831616,+
-3.722776,-8.615470,-
-8.923953,5.467509,+
5.996875,7.071054,-
-0.807227,-9.967969,-
4.324049,-9.534513,+
-5.870839,4.966782,+
3.837182,-9.039448,+
-7.400738,-8.588369,-
0.749680,-0.930357,+
7.111087,-7.214172,+
9.702988,-8.528075,+
-5.586815,9.256522,+
5.455769,3.606938,-
6.172403,5.815518,-
-0.552170,-4.591031,-
-5.578043,6.168439,+
5.736910,4.057110,-
5.581649,7.875419,-
4.551449,7.795972,-
6.271966,-0.235368,+
5.635746,-3.534940,+
-5.781332,0.953145,+
4.379874,-0.634650,+
-5.661761,0.584123,+
-5.095885,0.851557,+
9.060791,-8.076624,+
-9.969121,-2.700804,-
0.986532,8.999293,-
1.136188,5.921400,-
-5.294776,7.482014,+
-0.289579,1.406687,+
-8.065379,2.817759,+
8.185731,-9.909677,+
-1.077580,-6.457608,-
-4.129054,-9.770320,-
-3.154587,0.719643,+
-6.095328,-6.875873,-
0.612127,1.578020,-
-9.685209,-4.151282,-
9.420049,3.026588,-
9.020652,-2.598100,+
-7.531736,0.192682,+
8.997653,-9.093694,+
3.502359,-2.426924,+
-1.622014,0.126919,+
-5.110608,-7.449485,-
-5.249259,-6.151430,-
2.819005,3.478892,-
7.268466,-2.021784,+
-4.585278,3.034697,+
6.622594,-1.886185,+
-1.059332,2.210551,+
-9.450466,3.590313,+
5.047077,-4.132130,+
-1.961488,7.045086,+
-0.327580,-3.916050,-
9.147329,-0.573956,+
-9.637845,7.053435,+
-6.550266,-7.720835,-
-4.143383,7.718222,+
3.542247,0.777298,-
-1.975066,5.028483,+
7.621601,6.493009,-
0.302475,5.332386,-
1.256269,-9.181641,+
-3.141215,2.104120,+
7.326220,9.346902,-
5.952185,-5.278559,+
8.448669,-7.221647,+
7.414116,0.383699,-
-9.951837,7.043731,+
-3.858693,1.168435,+
-1.068832,-9.782651,-
8.567362,-9.063217,+
2.287249,1.687955,-
-7.350271,1.291487,+
1.989051,-2.833401,+
-4.572376,-5.351844,-
-3.746327,0.443052,+
-7.128272,6.688125,+
-3.760142,-1.910589,-
9.155578,3.679044,-
-5.732637,8.036812,+
-8.753066,-9.770371,-
5.718413,-8.360890,+
-8.448840,-4.477379,-
-8.106274,0.266438,+
-5.071660,2.771571,+
-4.528288,6.512062,+
2.479162,1.715287,-
-7.735456,3.599811,+
-1.020589,6.761622,+
-2.450138,-8.460127,-
-3.617645,-3.860590,-
6.862349,7.782508,-
8.454443,0.272365,-
-8.183664,5.359489,+
3.408678,4.909298,-
-0.321914,-7.895977,-
6.579900,4.257583,-
-1.447463,2.471812,+
1.850960,-5.501957,+
8.995273,4.039413,-
-8.317720,5.341654,+
-2.055933,-6.416642,-
-7.211434,0.158827,+
-6.474303,4.633606,+
4.884436,2.999187,-
-9.635766,-9.596819,-
-5.375286,-1.369961,-
5.459429,-4.127518,+
7.136012,-6.883182,+
0.583958,-2.751493,+
5.414813,-7.906195,+
-9.134366,-1.584907,-
4.670787,-7.659879,+
-0.175097,6.492607,+
-3.352914,6.045549,+
-1.494673,-8.131027,-
-8.577465,-1.657371,-
4.574725,-5.108970,+
5.519217,6.861740,-
-1.164777,-2.484109,-
-5.026277,-9.612820,-
0.231934,-2.726128,+
-3.891799,-2.590863,-
5.014864,4.973923,-
-6.700613,-8.746268,-
-9.246640,9.261939,+
-8.668220,-0.144446,-
9.484118,2.998848,-
4.611594,5.769400,-
-4.576725,-6.063387,-
7.276318,-2.641932,+
-5.081680,-0.946867,-
5.017721,-6.616249,+
0.215801,-4.836370,+
-8.901647,6.360332,+
1.619228,-9.288008,+
4.428194,6.721175,-
6.620166,7.774636,-
0.909273,2.724458,-
3.840010,-0.450605,+
-4.863196,-9.131651,-
6.163365,-4.009951,+
-9.333735,6.537992,+
7.607070,7.694287,-
